city,city_subunit,lat,lng,pages_limit,place_search_radius
Berlin,,52.5372897,13.360274300000002,10,30000
Berlin,Mitte,52.5372897,13.360274300000002,4,3000
Berlin,Moabit,52.530782900000005,13.3471759,2,3000
Berlin,Hansaviertel,52.521311499999996,13.343322500000001,2,3000
Berlin,Tiergarten,52.514534,13.350101500000001,2,3000
Berlin,Wedding,52.5504827,13.3519841,4,3000
Berlin,Gesundbrunnen,52.5523454,13.381467,4,3000
Berlin,Friedrichshain,52.515824,13.453989100000001,4,3000
Berlin,Kreuzberg,52.498344200000005,13.4065791,4,3000
Berlin,Prenzlauer Berg,52.5391787,13.4242073,4,3000
Berlin,Weißensee,52.5538804,13.467545300000001,2,3000
Berlin,Blankenburg,52.5943985,13.454750400000002,2,3000
Berlin,Heinersdorf,52.5696843,13.4377853,2,3000
Berlin,Karow,52.61171089999999,13.482459699999998,2,3000
Berlin,Malchow,52.579869099999996,13.486362699999997,2,3000
Berlin,Pankow,52.5928787,13.431700099999999,2,3000
Berlin,Blankenfelde,52.6247459,13.403769699999998,2,3000
Berlin,Buch,52.641401,13.496539000000002,2,3000
Berlin,Französisch Buchholz,52.6084118,13.429900400000001,2,3000
Berlin,Niederschönhausen,52.579689,13.397836600000002,2,3000
Berlin,Rosenthal,52.5968621,13.386126,2,3000
Berlin,Wilhelmsruh,52.5882549,13.3663769,2,3000
Berlin,Charlottenburg,52.516602299999995,13.304105400000001,4,3000
Berlin,Wilmersdorf,52.4904703,13.3144802,4,3000
Berlin,Schmargendorf,52.4754245,13.2903006,2,3000
Berlin,Grunewald,52.4833853,13.265799900000001,2,3000
Berlin,Westend,52.516211899999995,13.2600039,2,3000
Berlin,Charlottenburg-Nord,52.540206999999995,13.2870605,2,3000
Berlin,Halensee,52.497529899999996,13.292839800000001,2,3000
Berlin,Spandau,52.53518760000001,13.200296400000001,2,3000
Berlin,Haselhorst,52.5467366,13.230313399999998,2,3000
Berlin,Siemensstadt,52.536791599999994,13.2648441,2,3000
Berlin,Staaken,52.532503299999995,13.141597400000002,2,3000
Berlin,Gatow,52.488743400000004,13.1671038,2,3000
Berlin,Kladow,52.459530799999996,13.137579,2,3000
Berlin,Hakenfelde,52.5803789,13.1729487,2,3000
Berlin,Falkenhagener Feld,52.553803599999995,13.1677854,2,3000
Berlin,Wilhelmstadt,52.5154459,13.1846756,2,3000
Berlin,Steglitz,52.4530959,13.3311709,2,3000
Berlin,Lichterfelde,52.4313941,13.309673499999999,2,3000
Berlin,Lankwitz,52.436285700000006,13.345757500000001,2,3000
Berlin,Zehlendorf,52.4350772,13.260425,2,3000
Berlin,Dahlem,52.4582353,13.2870827,2,3000
Berlin,Nikolassee,52.434094099999996,13.201018,2,3000
Berlin,Wannsee,52.415113,13.1468678,2,3000
Berlin,Schöneberg,52.4898502,13.353237599999998,2,3000
Berlin,Friedenau,52.4726155,13.332749100000001,2,3000
Berlin,Tempelhof,52.4694927,13.3855997,2,3000
