city,city_subunit,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Berlin,,52.5372897,13.360274300000002,Elektronikmarkt,"electronics_store,point_of_interest,store,establishment",ChIJh1TYJrtPqEcR8GcyvKgelrM,Media Markt,"Karl-Marx-Straße 66, 12043 Berlin, Germany",52.4820247,13.4327194
Berlin,,52.5372897,13.360274300000002,Elektronikmarkt,"electronics_store,point_of_interest,store,establishment",ChIJYdKLpWlUqEcRqQp8RpHkvOs,MediaMarkt,"Am Borsigturm 2, 13507 Berlin, Germany",52.5860043,13.2866924
Berlin,,52.5372897,13.360274300000002,Elektronikmarkt,"electronics_store,home_goods_store,point_of_interest,store,establishment",ChIJsRx7n1VQqEcRQZgYiTpQg9E,SATURN,"Tauentzienstraße 9, 10789 Berlin, Germany",52.50408299999999,13.3386575
Berlin,,52.5372897,13.360274300000002,Elektronikmarkt,"electronics_store,home_goods_store,point_of_interest,store,establishment",ChIJXUMUyhhOqEcR6bGUxdUa9Vw,Saturn,"Alexanderpl. 3, 10178 Berlin, Germany",52.52158,13.41522
Berlin,,52.5372897,13.360274300000002,Kaufhaus,"department_store,point_of_interest,store,establishment",ChIJcVeonkZWqEcRZzHvHoQp_ew,Woolworth,"Kottbusser Damm 25-26, 10967 Berlin, Germany",52.4897009,13.4238246
Berlin,,52.5372897,13.360274300000002,Kaufhaus,"department_store,point_of_interest,store,establishment",ChIJcVeonkZWqEcRbiqRkV_YSyU,Woolworth,"Badstraße 16, 13357 Berlin, Germany",52.5512247,13.3840377
Berlin,,52.5372897,13.360274300000002,Kaufhaus,"department_store,point_of_interest,store,establishment",ChIJcVeonkZWqEcR94efhQdKPso,Woolworth,"Tempelhofer Damm 146, 12099 Berlin, Germany",52.4655509,13.3854003
Berlin,,52.5372897,13.360274300000002,Kaufhaus,"department_store,point_of_interest,store,establishment",ChIJcVeonkZWqEcRZB-r8wkdegA,Woolworth,"Berliner Str. 7-8, 13507 Berlin, Germany",52.588413,13.2844543
Berlin,,52.5372897,13.360274300000002,Kaufhaus,"department_store,point_of_interest,store,establishment",ChIJcVeonkZWqEcRj2_g5g1TvWk,Woolworth,"Berliner Str. 4, 14169 Berlin, Germany",52.4346226,13.2612934
Berlin,Alt-Treptow,52.4917223,13.4577383,Mode,"shopping_mall,point_of_interest,establishment",ChIJIwgg_gBPqEcRrb7VlG-c9tI,Park Center Treptow,"Am Treptower Park 14, 12435 Berlin, Germany",52.4907505,13.4571892
Berlin,Alt-Treptow,52.4917223,13.4577383,Mode,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJw2uEiAhPqEcRrJlIl8YLy6A,REWE,"Kiefholzstraße 50, 12435 Berlin, Germany",52.485533,13.4570429
Berlin,Altglienicke,52.4126625,13.5465149,Mode,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJrdA54FZGqEcR70Al-mqcvXM,EDEKA Center,"Siriusstraße 1, 12524 Berlin, Germany",52.4025425,13.5238449
Berlin,Französisch Buchholz,52.6084118,13.4299004,Mode,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJMU9DHphSqEcRzT_gLIsbg8M,Rewe,"Hauptstraße 65-70, 13127 Berlin, Germany",52.60444529999999,13.4325489
Berlin,Gatow,52.4887434,13.1671038,Mode,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJgVHjEolXqEcRy7_Jdy96yJ4,Netto Filiale,"Alt-Gatow 48-50, 14089 Berlin, Germany",52.4853505,13.1824906
Berlin,Gropiusstadt,52.4217791,13.4616071,Drogeriemarkt,"drugstore,health,point_of_interest,clothing_store,store,establishment",ChIJz2wQhLlPqEcRaptNsCaCcZg,Müller,"Tamara-Danz-Straße 11, 10243 Berlin, Germany",52.5064596,13.4460136
