place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJS-2klBmPsUcR3fiVHQfZDx8,2020-04-28,1,13,86,68
ChIJCQm1YuGOsUcRF2BXUS8jyxw,2020-04-28,1,13,28,50
ChIJz4wUD-mOsUcRZWQp2wYntso,2020-04-28,1,13,33,87
ChIJrSnVkxGPsUcRKoR3hP33EQM,2020-04-28,1,13,55,84
ChIJ0T8ooSGMsUcRbvezaV1-hoA,2020-04-28,1,13,41,42
ChIJdy1D_9yOsUcR8QJHxMIn5xc,2020-04-28,1,13,38,61
ChIJjYCz-G6PsUcRfjAqDv3I1fw,2020-04-28,1,13,30,28
ChIJJ3wLNxuPsUcRgQUAdv042Lo,2020-04-28,1,13,32,74
ChIJacls6nKPsUcR6kYEYnQSiXQ,2020-04-28,1,13,58,55
ChIJy4H9jUOPsUcR00ONbodQqmU,2020-04-28,1,13,45,39
ChIJK22uuGuPsUcRT9Aq75HGFO8,2020-04-28,1,13,29,44
ChIJO6NkRKKOsUcRD_AeIFyZcME,2020-04-28,1,13,31,51
ChIJXfAssOeOsUcR80duzyv8Su4,2020-04-28,1,13,56,35
ChIJhZVuEF6PsUcRGOyONk9-6Tg,2020-04-28,1,13,42,33
ChIJZz4AjxyFsUcRKp_Q8SJHg6c,2020-04-28,1,13,32,64
ChIJz2KkOxSMsUcRYXNq6JqLljQ,2020-04-28,1,13,74,49
ChIJz-Fa9zuPsUcRtxa7AB26i78,2020-04-28,1,13,16,42
ChIJb3BlFMeOsUcRGXdwYW3dJ2M,2020-04-28,1,13,37,67
ChIJbxbvKmePsUcRzKFIGJWaJq8,2020-04-28,1,13,46,53
ChIJW6EQuWuPsUcRCerKQehiKvw,2020-04-28,1,13,27,61
ChIJP7f5XnyPsUcReufrvwZ3NcQ,2020-04-28,1,13,36,63
ChIJ-xlgvuyOsUcRpNhsXDnCZ-4,2020-04-28,1,13,40,51
ChIJscoKMWeOsUcRgV7mZwGeTPI,2020-04-28,1,13,83,35
ChIJORK485iOsUcREThMxi19rY0,2020-04-28,1,13,30,78
ChIJazrZzfKOsUcRTm3NleLAAyc,2020-04-28,1,13,43,73
ChIJ70iKMJCOsUcRRu5tZrLxsNg,2020-04-28,1,13,50,64
ChIJnWamxZ-OsUcRk1rm8LixCWo,2020-04-28,1,13,95,60
ChIJoW56OruOsUcR-jyBM45tcVU,2020-04-28,1,13,50,49
ChIJpeHdPfKOsUcR1VWYzq3iJHI,2020-04-28,1,13,40,69
ChIJH7od1k6OsUcR7ocxwkNRxFY,2020-04-28,1,13,44,62
ChIJjxwQvS6MsUcRvxAbfD4NElE,2020-04-28,1,13,39,84
ChIJx32_vjeMsUcRE-znlCvqMvM,2020-04-28,1,13,24,66
ChIJ3RVA7DiFsUcRNj_FTYDZgjg,2020-04-28,1,13,51,47
ChIJ_ysxgGeMsUcRmDxhJ_5nmEQ,2020-04-28,1,13,71,65
ChIJg2v-LWOPsUcRgfFBPm19m4Y,2020-04-28,1,13,52,59
ChIJAydVaRyPsUcR-i34fGHSiCI,2020-04-28,1,13,37,71
ChIJJ9LSvuOOsUcR19qIZR08MWQ,2020-04-28,1,13,39,55
ChIJSbArkNWIsUcR7ubwExhgCVk,2020-04-28,1,13,31,48
ChIJje0_Rm2PsUcRWAERyYLeYtc,2020-04-28,1,13,22,51
ChIJH26vOBuPsUcRdNuIh8SLFEE,2020-04-28,1,13,34,84
ChIJWQc_eOGOsUcRn-sYMOcfBtQ,2020-04-28,1,13,25,40
ChIJbRi13tiMsUcRK8W-nuwi34k,2020-04-28,1,13,67,56
ChIJvZuT4YeOsUcRGtwKiNr4q_0,2020-04-28,1,13,22,53
ChIJo8JYEkuPsUcRgp_xG2rxoJE,2020-04-28,1,13,59,65
ChIJofu0-FaPsUcROTpzpqqeclA,2020-04-28,1,13,56,53
ChIJgYimH4aFsUcRTLfDySrk-qo,2020-04-28,1,13,16,83
ChIJBROl0JWOsUcRzpM0Cq9wu2M,2020-04-28,1,13,47,57
ChIJgYimH4aFsUcRqguaqSMgg8I,2020-04-28,1,13,27,67
