city,city_subunit,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,grocery_or_supermarket,home_goods_store,food,health,point_of_interest,clothing_store,store,establishment",ChIJSbArkNWIsUcR7ubwExhgCVk,BUDNI Drogeriemarkt,"Droopweg 25, 20537 Hamburg, Germany",53.5533575,10.06222
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,grocery_or_supermarket,home_goods_store,food,health,point_of_interest,clothing_store,store,establishment",ChIJvZuT4YeOsUcRGtwKiNr4q_0,BUDNI Drogeriemarkt,"Billstedt-Center, Billstedter Platz 2, 22111 Hamburg, Germany",53.5421074,10.1061852
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJWQc_eOGOsUcRn-sYMOcfBtQ,ROSSMANN Drogeriemarkt,"Spitalerstraße 4, 20095 Hamburg, Germany",53.5526439,10.0044074
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,home_goods_store,liquor_store,food,health,point_of_interest,store,establishment",ChIJbRi13tiMsUcRK8W-nuwi34k,ROSSMANN Drogeriemarkt,"Kandinskyallee 4-12, 22115 Hamburg, Germany",53.5255072,10.1507323
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJAydVaRyPsUcR-i34fGHSiCI,dm,"Rathausmarkt 7, 20095 Hamburg, Germany",53.5511432,9.994131999999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJg2v-LWOPsUcRgfFBPm19m4Y,dm-drogerie markt,"Große Bergstraße 152-162, 22767 Hamburg, Germany",53.5514995,9.9437523
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJJ9LSvuOOsUcR19qIZR08MWQ,dm-drogerie markt,"Steinstraße 8, 20095 Hamburg, Germany",53.5504085,10.0047818
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJje0_Rm2PsUcRWAERyYLeYtc,dm-drogerie markt,"Millerntorpl. 1, 20359 Hamburg, Germany",53.5506476,9.9684574
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJH26vOBuPsUcRdNuIh8SLFEE,dm-drogerie markt,"Großer Burstah 18, 20457 Hamburg, Germany",53.5486745,9.990100499999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJo8JYEkuPsUcRgp_xG2rxoJE,dm-drogerie markt,"Hoheluftchaussee 18, 20253 Hamburg, Germany",53.5798286,9.975416599999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Drogeriemarkt,"drugstore,supermarket,grocery_or_supermarket,electronics_store,home_goods_store,food,health,point_of_interest,store,establishment",ChIJofu0-FaPsUcROTpzpqqeclA,dm-drogerie markt,"Osterstraße 111, 20259 Hamburg, Germany",53.5756181,9.9527717
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Fast food,"restaurant,food,point_of_interest,establishment",ChIJBROl0JWOsUcRzpM0Cq9wu2M,Burger King,"Eiffestraße 64, 20537 Hamburg, Germany",53.5521053,10.037185
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Fast food,"restaurant,food,point_of_interest,establishment",ChIJgYimH4aFsUcRTLfDySrk-qo,McDonald's,"Eiffestraße 440, 20537 Hamburg, Germany",53.5520793,10.0464022
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Fast food,"restaurant,food,point_of_interest,establishment",ChIJgYimH4aFsUcRqguaqSMgg8I,McDonald's,"Dratelnstraße 31A, 21109 Hamburg, Germany",53.49969669999999,9.999854599999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"grocery_or_supermarket,supermarket,food,point_of_interest,store,establishment",ChIJacls6nKPsUcR6kYEYnQSiXQ,ALDI,"Zirkusweg 4 - 6, 20359 Hamburg, Germany",53.547702,9.966111999999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJW6EQuWuPsUcRCerKQehiKvw,ALDI Hamburg-St. Pauli,"Neuer Kamp 31, 20359 Hamburg, Germany",53.5560438,9.9666148
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJz-Fa9zuPsUcRtxa7AB26i78,Alnatura Super Natur Markt,"Schanzenstraße 34-36, 20357 Hamburg, Germany",53.560852,9.9656296
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJjYCz-G6PsUcRfjAqDv3I1fw,E aktiv markt Herwig Holst,"Paul-Roosen-Straße 8, 22767 Hamburg, Germany",53.552968,9.9598725
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJK22uuGuPsUcRT9Aq75HGFO8,E center St. Pauli,"Neuer Kamp 31, 20359 Hamburg, Germany",53.5565577,9.9657257
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJbxbvKmePsUcRzKFIGJWaJq8,EDEKA,"Max-Brauer-Allee 163, 22765 Hamburg, Germany",53.5592949,9.9503715
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJdy1D_9yOsUcR8QJHxMIn5xc,EDEKA Niemerszein St. Georg,"Lange Reihe 110, 20099 Hamburg, Germany",53.55948069999999,10.014411
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJS-2klBmPsUcR3fiVHQfZDx8,EDEKA Struve,"Große Bleichen 30, 20354 Hamburg, Germany",53.5534201,9.9888652
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJhZVuEF6PsUcRGOyONk9-6Tg,Edeka,"Stresemannstraße 161, 22769 Hamburg, Germany",53.5622357,9.950332999999999
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJJ3wLNxuPsUcRgQUAdv042Lo,Edeka Struve - Großer Burstah,"Großer Burstah 31, 20457 Hamburg, Germany",53.5482654,9.9889888
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJCQm1YuGOsUcRF2BXUS8jyxw,REWE,"Mönckebergstraße 2-4, 20095 Hamburg, Germany",53.551924,10.005078
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJrSnVkxGPsUcRKoR3hP33EQM,REWE,"Neuer Steinweg 18, 20459 Hamburg, Germany",53.550318,9.9772546
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJ0T8ooSGMsUcRbvezaV1-hoA,REWE,"Eiffestraße 664B, 20537 Hamburg, Germany",53.549677,10.0663953
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJy4H9jUOPsUcR00ONbodQqmU,REWE,"Altonaer Str. 67, 20357 Hamburg, Germany",53.5654129,9.9650529
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJO6NkRKKOsUcRD_AeIFyZcME,REWE,"Hammer Landstraße 76, 20537 Hamburg, Germany",53.5550147,10.0518307
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJZz4AjxyFsUcRKp_Q8SJHg6c,REWE,"Steendiek 16, 21129 Hamburg, Germany",53.5328235,9.8790511
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJz2KkOxSMsUcRYXNq6JqLljQ,REWE,"Rennbahnstraße 34A, 22111 Hamburg, Germany",53.5539792,10.0865331
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJb3BlFMeOsUcRGXdwYW3dJ2M,REWE,"Lübecker Str. 107, 22087 Hamburg, Germany",53.562124,10.0315202
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,atm,grocery_or_supermarket,finance,food,point_of_interest,store,establishment",ChIJXfAssOeOsUcR80duzyv8Su4,Sönmez Markt 1,"Steindamm 33, 20099 Hamburg, Germany",53.5545029,10.0135904
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Supermarkt,"supermarket,grocery_or_supermarket,food,point_of_interest,store,establishment",ChIJz4wUD-mOsUcRZWQp2wYntso,real,"Beim Strohhause 8, 20097 Hamburg, Germany",53.5522222,10.0197222
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,food,point_of_interest,store,establishment",ChIJscoKMWeOsUcRgV7mZwGeTPI,Aral,"Peutestraße 2, 20539 Hamburg, Germany",53.5276639,10.0243198
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,food,point_of_interest,store,establishment",ChIJORK485iOsUcREThMxi19rY0,Aral,"Eiffestraße 506, 20537 Hamburg, Germany",53.5514746,10.0520177
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,food,point_of_interest,store,establishment",ChIJoW56OruOsUcR-jyBM45tcVU,Aral,"Sievekingsallee, Saling 30, 20535 Hamburg, Germany",53.5614224,10.048364
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,car_wash,car_rental,convenience_store,restaurant,food,point_of_interest,store,establishment",ChIJjxwQvS6MsUcRvxAbfD4NElE,Aral,"Großmannstraße 195, 20539 Hamburg, Germany",53.5365548,10.064116
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,point_of_interest,establishment",ChIJazrZzfKOsUcRTm3NleLAAyc,JET Tankstelle,"Amsinckstraße 73, 20097 Hamburg, Germany",53.5427419,10.0269733
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,point_of_interest,establishment",ChIJH7od1k6OsUcR7ocxwkNRxFY,JET Tankstelle,"Schlenzigstraße 1, 21107 Hamburg, Germany",53.5197672,10.0003031
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,point_of_interest,establishment",ChIJ70iKMJCOsUcRRu5tZrLxsNg,SVG Hamburg gas station,"Bullerdeich 36, 20537 Hamburg, Germany",53.5443744,10.0388691
Hamburg,Hamburg-Mitte,53.51267360000001,10.0159421,Tankstelle,"gas_station,atm,car_wash,convenience_store,finance,cafe,food,point_of_interest,store,establishment",ChIJP7f5XnyPsUcReufrvwZ3NcQ,Shell,"Königstraße 22, 22767 Hamburg, Germany",53.5485516,9.9441341
