city,city_subunit,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJISELCtXXsEcR4UsIHXR02Eg,EDU - Einkaufspark Duckwitz Bremen,"Duckwitzstraße 55, 28199 Bremen, Germany",53.0659023,8.7697374
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJxVA7UYYnsUcR5r8jwLBam_Q,HANSA-CARRÉ Bremen,"Pfalzburger Str. 41, 28207 Bremen, Germany",53.0629815,8.869587800000001
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ-Sv7GTjWsEcRajqVdoU2C9I,Roland-Center Bremen,"Alter Dorfweg 30-50, 28259 Bremen, Germany",53.0467476,8.7439739
Bremen,,53.07929620000001,8.8016936,shopping center,"department_store,hardware_store,shoe_store,book_store,travel_agency,furniture_store,home_goods_store,restaurant,food,health,point_of_interest,clothing_store,store,establishment",ChIJyRUtHV0psUcR0hssOWCYW7M,SANDER CENTER,"Schragestraße 3, 28239 Bremen, Germany",53.1374514,8.7418099
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJU_3NGm8psUcRe_Sb5uA19VY,SANDER CENTER Haupthaus,"Schragestraße 4, 28239 Bremen, Germany",53.1377058,8.7431588
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJA7zVp1EosUcRrUECde5pcHA,Walle-Center,"Waller Heerstraße 103, 28219 Bremen, Germany",53.1005253,8.7869496
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJgdGCJp4psUcRY-tEoeGPGRM,Waterfront,"AG-Weser-Straße 3, 28237 Bremen, Germany",53.11117420000001,8.7482237
Bremen,,53.07929620000001,8.8016936,shopping center,"shopping_mall,point_of_interest,establishment",ChIJn88Vr17fsEcRmQYbZvbIP0k,Weserpark,"Hans-Bredow-Straße 19, 28307 Bremen, Germany",53.0497277,8.957435499999999
Dresden,,51.0504088,13.737262099999999,shopping center,"shopping_mall,point_of_interest,establishment",ChIJD1uiIGfPCUcRkLTtkb0kmWI,Altmarkt-Galerie Dresden,"Webergasse 1, 01067 Dresden, Germany",51.0492712,13.7352784
Dresden,,51.0504088,13.737262099999999,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ3dGdD63ICUcRujHZhxTlrDY,Haus Akzent am Fetscherplatz,"Fetscherpl. 2, 01307 Dresden, Germany",51.046566,13.770504
Dresden,,51.0504088,13.737262099999999,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ34yFWZTICUcR1Fo64RtizWQ,SchillerGalerie Dresden,"Loschwitzer Str. 52A, 01309 Dresden, Germany",51.05182199999999,13.8048369
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,department_store,point_of_interest,store,establishment",ChIJWdUmkE4OvUcRA8g0qup8zCs,Hessen-Center Frankfurt,"Borsigallee 26, 60388 Frankfurt am Main, Germany",50.14004019999999,8.7516189
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ1VXUPeIMvUcRrEQ23FpDld4,Isenburg-Zentrum,"Hermesstraße 4, 63263 Neu-Isenburg, Germany",50.0494949,8.697926599999999
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJXV_L910OvUcRSASidE5rhi4,METRO,"Am Riederbruch 10, 60386 Frankfurt am Main, Germany",50.1232294,8.732120100000001
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJZ3J6h68OvUcRyH63KXPPEiQ,MyZeil,"Zeil 106, 60313 Frankfurt am Main, Germany",50.1147336,8.6814672
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJbcf5HfkIvUcRVB86AZsdISw,Nordwestzentrum,"Limescorso 8, 60439 Frankfurt am Main, Germany",50.1576424,8.6334486
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJjbvnVGEIvUcRIzjQ9rksFDI,RiedbergZentrum,"Riedbergpl. 1, 60438 Frankfurt am Main, Germany",50.1770996,8.6293519
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJE-BO5_YNvUcRSAwZpskE83g,Ring Center,"Odenwaldring 70, 63069 Offenbach am Main, Germany",50.0875704,8.7608754
Frankfurt am Main,,50.1109221,8.6821267,shopping center,"shopping_mall,point_of_interest,establishment",ChIJVVVVVVgJvUcRnLadHAeWTSA,Skyline Plaza,"Europa-Allee 6, 60327 Frankfurt am Main, Germany",50.109368,8.6526563
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"shopping_mall,point_of_interest,establishment",ChIJhXHqSzYukUcRYk8gLA5WAck,Arena Einkaufspark Lahr,"Alter Stadtbahnhof 1, 77933 Lahr/Schwarzwald, Germany",48.3373225,7.8636975
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"shopping_mall,point_of_interest,establishment",ChIJhWUpC5wckUcRxEZ3yLNiQSA,Einkaufszentrum Schwarzwald City Freiburg,"Schiffstraße 5-9, 79098 Freiburg im Breisgau, Germany",47.9974461,7.8507954
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"department_store,shopping_mall,point_of_interest,store,establishment",ChIJfWh46ZsckUcRZet7x0J1SU4,Karstadt Freiburg,"Kaiser-Joseph-Straße 165, 79098 Freiburg im Breisgau, Germany",47.99684569999999,7.8524806
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"shopping_mall,point_of_interest,establishment",ChIJvXrw7IC5kUcRL1bZy8dsS34,Rheincenter,"Hauptstraße 435, 79576 Weil am Rhein, Germany",47.5907259,7.592147199999999
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"shopping_mall,point_of_interest,establishment",ChIJRdBteii4kUcRq3msQCBsgHg,Shopping Center St. Jakob-Park Basel,"St. Jakobs-Strasse 397, 4052 Basel, Switzerland",47.5415522,7.620051899999999
Freiburg,,47.99900770000001,7.842104300000001,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ7YSsf_73CEERkaPltYr0JTU,ZO - Zentrum Oberwiehre,"Schwarzwaldstraße 78, 79117 Freiburg im Breisgau, Germany",47.9881277,7.870120300000001
Kiel,,54.3232927,10.1227651,shopping center,"shopping_mall,point_of_interest,establishment",ChIJg97r74FWskcR-Hir9nu3xd8,Citti-Park Kiel,"Mühlendamm 1, 24113 Kiel, Germany",54.3131711,10.0985366
Kiel,,54.3232927,10.1227651,shopping center,"shopping_mall,supermarket,grocery_or_supermarket,cafe,food,point_of_interest,clothing_store,store,establishment",ChIJ10t0JGBWskcR5gGSYNVBeg4,Sophienhof Kiel,"Sophienblatt 20, 24103 Kiel, Germany",54.31623700000001,10.130909
Köln,,50.937531,6.9602786,shopping center,"shopping_mall,parking,point_of_interest,establishment",ChIJ3SGDATUnv0cR5ruqQ2yi3qM,City Center Porz,"Josefstraße 12, 51143 Köln, Germany",50.8848376,7.058957899999999
Köln,,50.937531,6.9602786,shopping center,"shopping_mall,point_of_interest,establishment",ChIJMeFjsM0xv0cRbZdemguiUz0,City-Center Köln-Chorweiler,"Mailänder Passage 1, 50765 Köln, Germany",51.02164819999999,6.896494499999999
Köln,,50.937531,6.9602786,shopping center,"shopping_mall,point_of_interest,establishment",ChIJ_ZciDFuHcUERS8hVdm2aTic,Hürth Park,"Theresienhöhe 4, 50354 Hürth, Germany",50.87984909999999,6.8728862
Köln,,50.937531,6.9602786,shopping center,"shopping_mall,point_of_interest,establishment",ChIJfcnqG3gmv0cRMjc8G_E6BL4,Köln Arcaden,"Kalker Hauptstraße 55, 51103 Köln, Germany",50.9380617,6.9976318
