bezirk,key,ortsteil,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Berlin,,,52.5372897,13.3602743,Baumarkt,"home_goods_store,point_of_interest,store,establishment",ChIJv89RkHhSqEcRrqajjLK2R4o,B1-Discount,"Idunastraße 2, 13089 Berlin, Germany",52.5761739,13.4326991
Berlin,,,52.5372897,13.3602743,Baumarkt,"home_goods_store,point_of_interest,store,establishment",ChIJlY1gkZJTqEcRjhSX4jioS6o,B1-Discount,"Waldstraße 86-90, 13403 Berlin, Germany",52.57452749999999,13.3268296
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,home_goods_store,point_of_interest,store,establishment",ChIJsba0P7hPqEcRJXRxDCgjlyA,BAUHAUS,"Hasenheide 109, 10967 Berlin, Germany",52.4853111,13.4217709
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,home_goods_store,point_of_interest,store,establishment",ChIJNWzO7SBRqEcRTPmbE-Et0pw,BAUHAUS,"Wilmersdorfer Str. 32, 10585 Berlin, Germany",52.5126674,13.3047779
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,furniture_store,home_goods_store,point_of_interest,store,establishment",ChIJc89ZqsNQqEcRh49E9EiYIFA,BAUHAUS,"Kurfürstendamm 129A, 10711 Berlin, Germany",52.4945898,13.2912585
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,furniture_store,home_goods_store,point_of_interest,store,establishment",ChIJJ-9DaNtEqEcRDgvtbLjvpS8,BAUHAUS,"Nahmitzer Damm 26, 12277 Berlin, Germany",52.40760299999999,13.371943
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,furniture_store,home_goods_store,point_of_interest,store,establishment",ChIJY6TNIi9WqEcRg5bOs3tzlzM,BAUHAUS,"Brunsbütteler Damm 144, 13581 Berlin, Germany",52.5346994,13.1761326
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,furniture_store,home_goods_store,point_of_interest,store,establishment",ChIJVYb6K1dWqEcRdCDeJFk-KaU,BAUHAUS,"An den Freiheitswiesen 6, 13597 Berlin, Germany",52.5294639,13.2194051
Berlin,,,52.5372897,13.3602743,Baumarkt,"home_goods_store,point_of_interest,store,establishment",ChIJ96oZf1RQqEcROpq9D80fxaE,BAUHAUS Berlin-Am Wittenbergplatz,"Bayreuther Str. 3-4, 10787 Berlin, Germany",52.5035462,13.3439741
Berlin,,,52.5372897,13.3602743,Baumarkt,"hardware_store,furniture_store,home_goods_store,point_of_interest,store,establishment",ChIJA9JKCbpSqEcRMpU5D6r1C-0,BAUHAUS Berlin-Pankow,"Schönerlinder Str. 53, 13127 Berlin, Germany",52.6151099,13.4335859
