bezirk,key,ortsteil,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Drogeriemarkt,,ChIJi8CGoN9QqEcR1LfvobiE744,Müller,"Wilmersdorfer Str. 46, 10627 Berlin, Germany",52.5095386,13.3046597
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Drogeriemarkt,,ChIJzXOJmidXqEcRD1H8fGToPXU,ROSSMANN Drogeriemarkt,"Reichsstraße 85, 14052 Berlin, Germany",52.51522970000001,13.262009
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Drogeriemarkt,,ChIJHx2ZcRhRqEcRqZOvQdjYCGs,ROSSMANN Drogeriemarkt,"Breite Str. 25, 14199 Berlin, Germany",52.47560619999999,13.2907225
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Drogeriemarkt,,ChIJmUxzFJlaqEcR7VB4BTI_PCw,ROSSMANN Drogeriemarkt,"Bismarckstraße 16 F, 12169 Berlin, Germany",52.4566744,13.3382913
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Drogeriemarkt,,ChIJQ0N-P6JQqEcR8JiZVUKhPNQ,dm-drogerie markt,"Berkaer Str. 2-3, 14199 Berlin, Germany",52.4761246,13.2898767
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Tankstelle,,ChIJ4VjLd6ZQqEcRqQasyoAM8zI,Aral,"Hohenzollerndamm 97, 14199 Berlin, Germany",52.475962,13.279154
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,Tankstelle,,ChIJXW5nedRQqEcR1oE1aLnzb8w,Aral Messedamm Berlin,"Messedamm 6, 14057 Berlin, Germany",52.508423,13.280755
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,fast food,,ChIJo_pLYlVQqEcRICwPv7mOcAk,Frai | Bikini Berlin,"Budapester Str. 38-50, 10787 Berlin, Germany",52.5055495,13.3375395
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,shopping centre,,ChIJb1WUiYZaqEcRiWE_LZ5_l64,Das Schloss,"Schloßstraße 34, 12163 Berlin, Germany",52.45781359999999,13.3207668
Charlottenburg-Wilmersdorf,401,Charlottenburg,52.516602299999995,13.304105400000001,street market,,ChIJETkp821aqEcRlpJVRUacYZc,Domäne Dahlem,"Königin-Luise-Straße 49, 14195 Berlin, Germany",52.4583625,13.2889325
