bezirk,key,ortsteil,lat,lng,query,place_type,place_id,name,addr,place_lat,place_lng
Berlin,,,52.5372897,13.3602743,light rail station,"transit_station,point_of_interest,establishment",ChIJ_3Pm_L1RqEcRPtHs6p2i0AY,Berlin Central Station,"10557 Berlin, Germany",52.5248111,13.369699
Berlin,,,52.5372897,13.3602743,park,"tourist_attraction,museum,park,point_of_interest,establishment",ChIJZ0KxF_JRqEcRrLHB-4r-U-o,Berlin Wall Memorial,"Bernauer Str. 111, 13355 Berlin, Germany",52.53505209999999,13.3901898
Berlin,,,52.5372897,13.3602743,park,"tourist_attraction,park,point_of_interest,establishment",ChIJYYLF9XRFqEcRcjMc_yXeNYE,Britzer Garten,"Sangerhauser Weg 1, 12349 Berlin, Germany",52.43078999999999,13.411
Berlin,,,52.5372897,13.3602743,park,"tourist_attraction,park,point_of_interest,establishment",ChIJtey4DkFSqEcRuiyRMPRWxJQ,Bürgerpark Pankow,"Wilhelm-Kuhr-Straße 9, 13187 Berlin, Germany",52.56945839999999,13.394732
Berlin,,,52.5372897,13.3602743,park,"park,tourist_attraction,point_of_interest,establishment",ChIJ4dHdSq5RqEcReqvQ3PGSw4M,Großer Tiergarten,"Str. des 17. Juni, 10785 Berlin, Germany",52.5141516,13.3591634
Berlin,,,52.5372897,13.3602743,park,"park,point_of_interest,establishment",ChIJZ7MZiExPqEcRG1LUMlDEr-0,Görlitzer Park,"Görlitzer Str. 3, 10997 Berlin, Germany",52.49659279999999,13.4374489
Berlin,,,52.5372897,13.3602743,park,"park,point_of_interest,establishment",ChIJq6qqasRPqEcRXNfStONfLpI,Hasenheide Park,"Columbiadamm 160, 10965 Berlin, Germany",52.4870662,13.4165167
Berlin,,,52.5372897,13.3602743,park,"tourist_attraction,park,point_of_interest,establishment",ChIJraCYwolRqEcRxVtJLuV3IDc,Humboldthain park,"Brunnenstraße, 13357 Berlin, Germany",52.54527789999999,13.3848881
Berlin,,,52.5372897,13.3602743,park,"tourist_attraction,park,point_of_interest,establishment",ChIJTRJ0JZ9PqEcRABns9MHCtoA,Körnerpark,"Schierker Str. 8, 12051 Berlin, Germany",52.47136099999999,13.437907
Berlin,,,52.5372897,13.3602743,park,"park,point_of_interest,establishment",ChIJd-d5Rx1SqEcRgCz33OsCSZQ,Mauer park,"Gleimstraße 55, 10437 Berlin, Germany",52.5424,13.403352
