place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJeZ0RHcNRqEcRZfunLIjlWuY,2020-04-04,5,13,18,47
ChIJ-8sDhdpRqEcRp062PKUWqo0,2020-04-04,5,13,22,28
ChIJJ7hs2y9OqEcREgQ5PqL4--I,2020-04-04,5,13,43,82
ChIJX0Mmkc9RqEcR0bH4Q4qkC-k,2020-04-04,5,13,44,68
ChIJeR5kMjBOqEcRcJjqBMMfYKg,2020-04-04,5,13,50,81
ChIJ62nCoepRqEcRBsra7l-Nq18,2020-04-04,5,13,15,38
ChIJ8xxleelRqEcRtn5gqyNhHvA,2020-04-04,5,13,12,37
ChIJBUEJietRqEcRM-_HFj_aQig,2020-04-04,5,13,37,72
ChIJ6_iV89BRqEcRCr5Ntbe5cLA,2020-04-04,5,13,24,46
ChIJrzhg285RqEcRCrcEtu4XG5I,2020-04-04,5,13,22,63
ChIJV16OSJNRqEcRpJUFdhOKHHQ,2020-04-04,5,13,39,67
ChIJS5p1GdRRqEcRzoMvYJZBdkM,2020-04-04,5,13,33,56
ChIJmQtpiOBRqEcRqBjTGY_LvHI,2020-04-04,5,13,29,45
ChIJ1QtBFr1RqEcRdovvLZRzEWc,2020-04-04,5,13,52,87
ChIJH0CL4PtRqEcRwU1E3Fzrmkg,2020-04-04,5,13,46,63
ChIJ3z5s5B9OqEcRNhTDwzwxE-M,2020-04-04,5,13,43,66
ChIJ_VI_DA1RqEcRFZdwPlVgPDs,2020-04-04,5,13,68,73
ChIJbyaoEghRqEcRQCzKsqoIIEA,2020-04-04,5,13,40,64
ChIJBwowZ4lRqEcRM7EkazmsRg0,2020-04-04,5,13,63,96
ChIJhd-ZeSFSqEcRIWLSchbdNWw,2020-04-04,5,13,40,73
ChIJ_zRDulpMqEcRvbyCl7l3rXA,2020-04-04,5,13,38,77
ChIJpeHVvSRSqEcRZ_-_N1xRZnw,2020-04-04,5,13,58,81
ChIJQV7cfoVNqEcRfcFSoabxm9A,2020-04-04,5,13,44,70
ChIJX3zVB9dTqEcRxgS7v4lhFig,2020-04-04,5,13,86,95
ChIJpxxhBA9RqEcRDYMaMAsyWck,2020-04-04,5,13,35,90
ChIJSQxBEh1OqEcRFqZNsYAOhE4,2020-04-04,5,13,39,67
ChIJpU9lbv5QqEcRi2P-1X1gkno,2020-04-04,5,13,14,21
ChIJoTWZvitOqEcRsGjSIgmkrTY,2020-04-04,5,13,38,72
ChIJz_sXfRJRqEcRACl-UDx3IQU,2020-04-04,5,13,32,72
ChIJE6BP_iNSqEcR5oYgbIsbLuM,2020-04-04,5,13,51,90
ChIJDQShG6NRqEcRXNHQYjXYAKk,2020-04-04,5,13,42,69
ChIJm7OhB9dTqEcRQruMUhzPDv8,2020-04-04,5,13,51,87
ChIJpz0IDx9SqEcRvm7nUYrE_Vk,2020-04-04,5,13,38,80
ChIJ3VpndIJRqEcRgTMWE1jdkcE,2020-04-04,5,13,20,69
ChIJ53t6cI5RqEcRdhO7sM7SjhQ,2020-04-04,5,13,47,90
ChIJqRnpB6VRqEcRiwATztZ-ToI,2020-04-04,5,13,18,69
ChIJKZHkippRqEcRkqiQOvsuYDg,2020-04-04,5,13,31,58
ChIJ38EptC1OqEcRz4WWrQERQc0,2020-04-04,5,13,37,71
ChIJ0zK3-zhOqEcRLFQnKGo-e9U,2020-04-04,5,13,47,61
ChIJq_tKmxxOqEcRUqTZMRrJZyg,2020-04-04,5,13,61,92
ChIJK9CbnfZRqEcRaH1WG3AGueE,2020-04-04,5,13,21,67
ChIJiYtaryJSqEcRKj_bcT2aE0Y,2020-04-04,5,13,76,87
ChIJJ99ot2xRqEcR1C0OBDUv7eI,2020-04-04,5,13,45,78
ChIJAZp7-nxRqEcRGQlcF2wsxig,2020-04-04,5,13,35,83
ChIJ2xPeMXZRqEcRBDgvTzz9jJU,2020-04-04,5,13,38,89
ChIJMdup0AxOqEcRMSiJPpryEtg,2020-04-04,5,13,58,50
ChIJ5d0FE1BQqEcRQaKP6vHG0_k,2020-04-04,5,13,90,82
ChIJ93i4SBxRqEcREgRyzHh3OcU,2020-04-04,5,13,12,66
ChIJQTXmJRNSqEcRhuYvqftsGUo,2020-04-04,5,13,42,83
ChIJfZpzv1BRqEcRPPWYUsLlRa0,2020-04-04,5,13,16,50
ChIJWwtcPMpTqEcR0TQXF-Vp4Eo,2020-04-04,5,13,53,83
ChIJTdF7l-VTqEcRkGX0zW8IieM,2020-04-04,5,13,55,62
ChIJ2xXXluhTqEcRG7OkLwBmy2U,2020-04-04,5,13,73,84
ChIJMX49huxTqEcRcTYsxgLytxA,2020-04-04,5,13,64,82
ChIJpcwOBDNQqEcRlKFC0DGIzj4,2020-04-04,5,13,8,62
ChIJk6Qz6N5QqEcRw7BHSklE3E8,2020-04-04,5,13,32,77
ChIJJxP1KyRRqEcR_hGOrPvJcEE,2020-04-04,5,13,50,75
ChIJ-8mQVUNQqEcRX_zh8do7jnQ,2020-04-04,5,13,52,69
ChIJfeIuzE1SqEcR4nNb6lRg2iM,2020-04-04,5,13,42,78
ChIJdfZbBcpWqEcR2PZUbBg09-M,2020-04-04,5,13,22,62
ChIJlakLKaRPqEcRElJtCL-m8nI,2020-04-04,5,13,45,79
ChIJvaZWgElOqEcRElWjL2P9AZg,2020-04-04,5,13,26,88
ChIJhX6bwAxRqEcRkZurgyAaAMU,2020-04-04,5,13,26,100
ChIJOZG7315OqEcRVs8ZP5sx0mQ,2020-04-04,5,13,84,99
ChIJnbNuyRhPqEcRUIN-creCDbw,2020-04-04,5,13,32,82
ChIJi8XB0NlPqEcRGxxtloPjBz4,2020-04-04,5,13,34,96
ChIJ_SKT7opOqEcR-kwMRzlB104,2020-04-04,5,13,38,77
ChIJ8TbTJwJOqEcRvPFwPGvwmMw,2020-04-04,5,13,75,100
ChIJYb9yIlRQqEcR7A7Zwwy7q-0,2020-04-04,5,13,11,91
ChIJ7aVia_lQqEcRXRIgdsB4UFA,2020-04-04,5,13,39,64
ChIJ99S8mv9QqEcRZxIPBXtoDro,2020-04-04,5,13,12,72
ChIJMUj5z85RqEcRJFWt9uG8OZ8,2020-04-04,5,13,15,80
ChIJJWMVustRqEcRpRM6ykKqzgA,2020-04-04,5,13,12,57
ChIJeWnBEAxOqEcRxCujiWAC9cA,2020-04-04,5,13,134,100
ChIJqwa-_iFSqEcR4ovz1UNXfnE,2020-04-04,5,13,23,85
ChIJK_IsmNpRqEcR7CohIvF1YJY,2020-04-04,5,13,10,47
ChIJF4Qpgv9QqEcRm0J38vyyApc,2020-04-04,5,13,11,76
ChIJQ7n-0SFOqEcRcM5fnmh3y88,2020-04-04,5,13,12,85
ChIJ4dic-71RqEcRj6sdBp0wvr0,2020-04-04,5,13,12,67
ChIJL8oBBiJOqEcReZhBm3l64Jo,2020-04-04,5,13,10,81
ChIJC05cKAtRqEcRTZfle3uIPBk,2020-04-04,5,13,34,88
ChIJBek1bHRRqEcR5ug7YnJ3p-o,2020-04-04,5,13,25,100
ChIJ7ySn3eBRqEcROAlFzu1GfPE,2020-04-04,5,13,7,64
ChIJ763hvt9RqEcRh7cT3iy1_90,2020-04-04,5,13,11,87
ChIJVwsLKH5RqEcRyxd4h3wDjmI,2020-04-04,5,13,43,88
ChIJWc7zSjVRqEcRC9p1asxji0Q,2020-04-04,5,13,44,80
ChIJrR9Guf5QqEcRpR-b5DFt4Vs,2020-04-04,5,13,10,87
ChIJu9ovpehTqEcRn_JoEflFlFw,2020-04-04,5,13,33,92
ChIJ_____wBSqEcRP0Etm0WcI6U,2020-04-04,5,13,23,85
ChIJBWnypt9QqEcRgeKLdM9Zv4o,2020-04-04,5,13,24,94
ChIJ5Y4l-HBRqEcR49MqzTUoF1c,2020-04-04,5,13,15,12
ChIJIwgg_gBPqEcRrb7VlG-c9tI,2020-04-04,5,13,58,100
ChIJEbHJuYxOqEcRVrmIcHOa-9Q,2020-04-04,5,13,18,86
