place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJ4dHdSq5RqEcReqvQ3PGSw4M,2020-04-11,5,23,11,5
ChIJq6qqasRPqEcRXNfStONfLpI,2020-04-11,5,23,11,9
ChIJh-VxU6FOqEcRvwU-Q_qUi38,2020-04-11,5,23,21,1
ChIJd-d5Rx1SqEcRgCz33OsCSZQ,2020-04-11,5,23,10,2
ChIJe8FmEzBQqEcRth79TMVowwU,2020-04-11,5,23,9,8
ChIJJbrv0uRRqEcRjPFVxVJ4e5o,2020-04-11,5,23,15,30
ChIJ_S5uaxJOqEcRdg-gu1fEgcI,2020-04-11,5,23,14,10
ChIJt-a62fz1qEcRIJwFoSAi9IQ,2020-04-11,5,23,12,1
ChIJKVIg5EZFqEcRD75xE2cDXqM,2020-04-11,5,23,3,21
ChIJX4ubSl1UqEcRpV4STcBDUD8,2020-04-11,5,23,8,22
ChIJ7d_UnD5JqEcRzbgHvf8fNzM,2020-04-11,5,23,5,6
ChIJ1eUIwElQqEcRWryKuOGKHg8,2020-04-11,5,23,17,87
ChIJ98LWuDNQqEcR6OnDFWwJUu8,2020-04-11,5,23,5,26
ChIJyWpqDXdPqEcRW_urciDhXBE,2020-04-11,5,23,13,15
ChIJ406aXg1UqEcRqy0qSr7EiVU,2020-04-11,5,23,4,21
ChIJr0ZHldNLqEcRMaksdM5U0XU,2020-04-11,5,23,20,2
ChIJmTbnUu9TqEcRDIQlD3hmt6I,2020-04-11,5,23,5,11
ChIJgVuUc8BWqEcRoil0A4lg1Y4,2020-04-11,5,23,6,22
ChIJ7eUE9eRRqEcRSQi-22OEJ7g,2020-04-11,5,23,10,77
ChIJ7ZlwAWBOqEcRAAvr-gZ77NI,2020-04-11,5,23,11,75
ChIJXfVddQtRqEcR5wLooPQmGzE,2020-04-11,5,23,3,34
ChIJ_RJsqeBQqEcR1dUSylbBoXM,2020-04-11,5,23,2,61
ChIJYf54fkpRqEcRuMlNaIdyH4I,2020-04-11,5,23,9,20
ChIJD5gXOIRTqEcRk3R4CfcWeKI,2020-04-11,5,23,10,8
ChIJU6NkgLdPqEcRthuvoxHZL_I,2020-04-11,5,23,10,52
ChIJXdFtSjxIqEcRjoozhtQ1iDo,2020-04-11,5,23,13,0
ChIJ05q01-1RqEcRGDTqjYS5BBs,2020-04-11,5,23,4,28
ChIJaS75A0dOqEcRK8tLe3-tu3A,2020-04-11,5,23,4,20
ChIJweNzLf5QqEcR9_-BQ7QntcI,2020-04-11,5,23,1,33
ChIJXRf9v1xaqEcR3epG1jIU72A,2020-04-11,5,23,4,20
ChIJ5wlqTJ9ZqEcRxECWVrtwkvA,2020-04-11,5,23,12,18
ChIJkXqLeNlOqEcRnZjFxxIJhyQ,2020-04-11,5,23,8,6
ChIJYxlGmqlHqEcRB_18Dsbch-0,2020-04-11,5,23,10,12
ChIJAUSBTxBbqEcR7vR-UJ-aeGQ,2020-04-11,5,23,19,0
ChIJ19jza-NQqEcRJEn6BpZAkTk,2020-04-11,5,23,1,43
ChIJz4ha4AFPqEcRYVFjG8IRfH8,2020-04-11,5,23,23,7
ChIJ4VjLd6ZQqEcRqQasyoAM8zI,2020-04-11,5,23,14,1
ChIJTyk-jddQqEcReE3sYfeBKdE,2020-04-11,5,23,3,0
ChIJO7IwbztRqEcRShY3V4DrBcI,2020-04-11,5,23,24,15
ChIJXXcp9B9RqEcRs8TpySyBtN4,2020-04-11,5,23,10,43
ChIJfR4Wo8NQqEcR-TKZz9g7Zlc,2020-04-11,5,23,28,17
ChIJV0M2ltdQqEcRw4wJEgD6RAE,2020-04-11,5,23,12,32
ChIJFWsGVYhaqEcRWlUNrQypCAM,2020-04-11,5,23,5,10
ChIJrcNS6hFaqEcR5__JzvK9QNA,2020-04-11,5,23,12,33
ChIJe6PwwgRQqEcRXxsK5Cw8KrQ,2020-04-11,5,23,21,42
ChIJDc1REM9XqEcR7NX2xfDcQyg,2020-04-11,5,23,4,1
ChIJTbcz1PtWqEcRWqrcGNRfkU8,2020-04-11,5,23,37,54
ChIJQeWWrMlXqEcRJezJmkCZ6wc,2020-04-11,5,23,7,0
ChIJLR-ZNPpWqEcRTepKIQ8Uuv0,2020-04-11,5,23,17,0
ChIJS-2xsmZOqEcR_nDiPoNZOsE,2020-04-11,5,23,20,8
ChIJRboPTJVOqEcRGpIH_LCx-OE,2020-04-11,5,23,29,16
ChIJLwIuN3ZPqEcRmufpUSNtAWk,2020-04-11,5,23,14,17
ChIJZ3NYNnZPqEcRq_ZDpYNNSXs,2020-04-11,5,23,14,17
ChIJWajqTXZPqEcRo4OQX2WZ66c,2020-04-11,5,23,21,9
ChIJIRJ_6hhPqEcRVbda_8e-YiQ,2020-04-11,5,23,18,3
ChIJgRYBxnpOqEcRRRR3vxzf5JA,2020-04-11,5,23,10,20
ChIJCwTwSilPqEcRrhHJnP7wi9c,2020-04-11,5,23,20,0
ChIJp_o46phOqEcR3bNa3Y9um8I,2020-04-11,5,23,36,1
ChIJhSga3GNOqEcRfmVi3kBniig,2020-04-11,5,23,5,0
ChIJM_07w21OqEcRRpMAGyU8N08,2020-04-11,5,23,17,35
ChIJWTy_EFtOqEcRUriQ8mf3n9c,2020-04-11,5,23,11,38
ChIJszR0qEdOqEcR-wk88Z89zM8,2020-04-11,5,23,9,16
ChIJZ7MZiExPqEcRG1LUMlDEr-0,2020-04-11,5,23,33,23
ChIJ3ZkpfDtOqEcRNqjMThEFrR4,2020-04-11,5,23,6,38
ChIJU5ez5oFPqEcRY60T26uGVqQ,2020-04-11,5,23,28,1
ChIJMQfaOq9OqEcRODhg_9gOv24,2020-04-11,5,23,7,10
ChIJlV40EExOqEcRw-LRQsb4aos,2020-04-11,5,23,1,53
ChIJEyJMh01OqEcRSJkG3ongwxI,2020-04-11,5,23,25,26
ChIJoRUmFy9QqEcR5fN1kG7Tk4E,2020-04-11,5,23,27,22
ChIJ30NGtNxOqEcRtXe6ckl5K6o,2020-04-11,5,23,22,12
ChIJpw4u6zJJqEcRa3yfzT2mjLo,2020-04-11,5,23,11,19
ChIJhajpfcFOqEcRdOSJDoCnyb0,2020-04-11,5,23,10,15
ChIJ8T0TNu1OqEcRncejCJ_ysMU,2020-04-11,5,23,13,20
ChIJTQ1llWVLqEcRLoqzzG_QIy8,2020-04-11,5,23,7,2
ChIJxRIFHspUqEcR2H279DuiYeQ,2020-04-11,5,23,6,1
ChIJ8dOUGflNqEcRu2ifgiaGiB4,2020-04-11,5,23,18,1
ChIJx2LSe4lLqEcR-lOMCZxBmXk,2020-04-11,5,23,5,1
ChIJR-5e0OdLqEcRoh1QsCUOk-Q,2020-04-11,5,23,9,2
ChIJF_i4LOxJqEcRSteIHuOrkCs,2020-04-11,5,23,11,1
ChIJUX4OZ19JqEcRlJRrkSnSC7k,2020-04-11,5,23,15,18
