place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJ_3Pm_L1RqEcRPtHs6p2i0AY,2020-04-16,3,21,2,45
ChIJ4dHdSq5RqEcReqvQ3PGSw4M,2020-04-16,3,21,37,18
ChIJq6qqasRPqEcRXNfStONfLpI,2020-04-16,3,21,41,8
ChIJh-VxU6FOqEcRvwU-Q_qUi38,2020-04-16,3,21,28,1
ChIJd-d5Rx1SqEcRgCz33OsCSZQ,2020-04-16,3,21,42,2
ChIJe8FmEzBQqEcRth79TMVowwU,2020-04-16,3,21,108,8
ChIJJbrv0uRRqEcRjPFVxVJ4e5o,2020-04-16,3,21,52,39
ChIJ_S5uaxJOqEcRdg-gu1fEgcI,2020-04-16,3,21,77,8
ChIJt-a62fz1qEcRIJwFoSAi9IQ,2020-04-16,3,21,48,1
ChIJKVIg5EZFqEcRD75xE2cDXqM,2020-04-16,3,21,9,27
ChIJX4ubSl1UqEcRpV4STcBDUD8,2020-04-16,3,21,7,37
ChIJ7d_UnD5JqEcRzbgHvf8fNzM,2020-04-16,3,21,45,7
ChIJ1eUIwElQqEcRWryKuOGKHg8,2020-04-16,3,21,22,48
ChIJ98LWuDNQqEcR6OnDFWwJUu8,2020-04-16,3,21,16,30
ChIJyWpqDXdPqEcRW_urciDhXBE,2020-04-16,3,21,23,19
ChIJ406aXg1UqEcRqy0qSr7EiVU,2020-04-16,3,21,19,26
ChIJr0ZHldNLqEcRMaksdM5U0XU,2020-04-16,3,21,33,0
ChIJmTbnUu9TqEcRDIQlD3hmt6I,2020-04-16,3,21,14,27
ChIJz1SnASBXqEcRxNOjBLhxe5Y,2020-04-16,3,21,5,3
ChIJgVuUc8BWqEcRoil0A4lg1Y4,2020-04-16,3,21,11,32
ChIJ7eUE9eRRqEcRSQi-22OEJ7g,2020-04-16,3,21,8,66
ChIJ7ZlwAWBOqEcRAAvr-gZ77NI,2020-04-16,3,21,22,40
