place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJ_3Pm_L1RqEcRPtHs6p2i0AY,2020-04-12,6,16,7,87
ChIJ4dHdSq5RqEcReqvQ3PGSw4M,2020-04-12,6,16,258,49
ChIJq6qqasRPqEcRXNfStONfLpI,2020-04-12,6,16,212,70
ChIJh-VxU6FOqEcRvwU-Q_qUi38,2020-04-12,6,16,58,36
ChIJd-d5Rx1SqEcRgCz33OsCSZQ,2020-04-12,6,16,76,70
ChIJe8FmEzBQqEcRth79TMVowwU,2020-04-12,6,16,253,75
ChIJJbrv0uRRqEcRjPFVxVJ4e5o,2020-04-12,6,16,134,86
ChIJ_S5uaxJOqEcRdg-gu1fEgcI,2020-04-12,6,16,262,77
ChIJt-a62fz1qEcRIJwFoSAi9IQ,2020-04-12,6,16,441,56
ChIJC49cbXtaqEcR6I2NHP-sohU,2020-04-12,6,16,43,45
ChIJW2oZB8ZRqEcRyFvuEpCnNBQ,2020-04-12,6,16,5,58
ChIJKVIg5EZFqEcRD75xE2cDXqM,2020-04-12,6,16,20,44
ChIJX4ubSl1UqEcRpV4STcBDUD8,2020-04-12,6,16,54,77
ChIJ7d_UnD5JqEcRzbgHvf8fNzM,2020-04-12,6,16,83,17
ChIJ1eUIwElQqEcRWryKuOGKHg8,2020-04-12,6,16,19,64
ChIJ98LWuDNQqEcR6OnDFWwJUu8,2020-04-12,6,16,19,60
ChIJyWpqDXdPqEcRW_urciDhXBE,2020-04-12,6,16,29,24
ChIJ406aXg1UqEcRqy0qSr7EiVU,2020-04-12,6,16,28,41
ChIJr0ZHldNLqEcRMaksdM5U0XU,2020-04-12,6,16,56,80
ChIJmTbnUu9TqEcRDIQlD3hmt6I,2020-04-12,6,16,12,55
ChIJz1SnASBXqEcRxNOjBLhxe5Y,2020-04-12,6,16,1,15
ChIJgVuUc8BWqEcRoil0A4lg1Y4,2020-04-12,6,16,19,36
ChIJ7eUE9eRRqEcRSQi-22OEJ7g,2020-04-12,6,16,13,57
ChIJ7ZlwAWBOqEcRAAvr-gZ77NI,2020-04-12,6,16,17,45
ChIJXfVddQtRqEcR5wLooPQmGzE,2020-04-12,6,16,18,45
ChIJg2vQjPtQqEcR-N5-qZZ5NlU,2020-04-12,6,16,13,67
ChIJ_RJsqeBQqEcR1dUSylbBoXM,2020-04-12,6,16,16,46
ChIJYf54fkpRqEcRuMlNaIdyH4I,2020-04-12,6,16,23,46
ChIJD5gXOIRTqEcRk3R4CfcWeKI,2020-04-12,6,16,24,40
ChIJU6NkgLdPqEcRthuvoxHZL_I,2020-04-12,6,16,16,40
ChIJVz4Nn_pGqEcR_l0emjlY8PE,2020-04-12,6,16,5,47
ChIJ62hndh9OqEcRydXjBjh91ps,2020-04-12,6,16,10,63
ChIJe-ff-71RqEcRqvy8lRR4PHo,2020-04-12,6,16,7,87
ChIJcy1JA8NRqEcRBNy2MNzQTmw,2020-04-12,6,16,7,66
ChIJXdFtSjxIqEcRjoozhtQ1iDo,2020-04-12,6,16,122,30
ChIJ05q01-1RqEcRGDTqjYS5BBs,2020-04-12,6,16,11,53
ChIJaS75A0dOqEcRK8tLe3-tu3A,2020-04-12,6,16,17,97
ChIJhwfvW8lRqEcRud4JRZ-d6vQ,2020-04-12,6,16,4,29
ChIJweNzLf5QqEcR9_-BQ7QntcI,2020-04-12,6,16,12,71
ChIJXRf9v1xaqEcR3epG1jIU72A,2020-04-12,6,16,30,55
ChIJ5wlqTJ9ZqEcRxECWVrtwkvA,2020-04-12,6,16,128,75
ChIJkXqLeNlOqEcRnZjFxxIJhyQ,2020-04-12,6,16,34,27
ChIJYxlGmqlHqEcRB_18Dsbch-0,2020-04-12,6,16,22,36
ChIJAUSBTxBbqEcR7vR-UJ-aeGQ,2020-04-12,6,16,52,0
ChIJqREgbBlXqEcR_9PBCoz8kKw,2020-04-12,6,16,1,10
ChIJnyy9mAVXqEcRFyqpgaoaNL8,2020-04-12,6,16,43,97
ChIJ19jza-NQqEcRJEn6BpZAkTk,2020-04-12,6,16,10,40
ChIJz4ha4AFPqEcRYVFjG8IRfH8,2020-04-12,6,16,441,57
ChIJ4VjLd6ZQqEcRqQasyoAM8zI,2020-04-12,6,16,117,51
ChIJXW5nedRQqEcR1oE1aLnzb8w,2020-04-12,6,16,48,100
ChIJETkp821aqEcRlpJVRUacYZc,2020-04-12,6,16,147,100
ChIJFWsGVYhaqEcRWlUNrQypCAM,2020-04-12,6,16,38,98
ChIJrcNS6hFaqEcR5__JzvK9QNA,2020-04-12,6,16,91,100
ChIJe6PwwgRQqEcRXxsK5Cw8KrQ,2020-04-12,6,16,18,83
ChIJDc1REM9XqEcR7NX2xfDcQyg,2020-04-12,6,16,86,57
ChIJTbcz1PtWqEcRWqrcGNRfkU8,2020-04-12,6,16,22,94
ChIJQeWWrMlXqEcRJezJmkCZ6wc,2020-04-12,6,16,38,100
ChIJLR-ZNPpWqEcRTepKIQ8Uuv0,2020-04-12,6,16,39,100
ChIJS-2xsmZOqEcR_nDiPoNZOsE,2020-04-12,6,16,182,62
ChIJRboPTJVOqEcRGpIH_LCx-OE,2020-04-12,6,16,32,81
ChIJLwIuN3ZPqEcRmufpUSNtAWk,2020-04-12,6,16,65,75
ChIJZ3NYNnZPqEcRq_ZDpYNNSXs,2020-04-12,6,16,65,75
ChIJWajqTXZPqEcRo4OQX2WZ66c,2020-04-12,6,16,27,76
ChIJIRJ_6hhPqEcRVbda_8e-YiQ,2020-04-12,6,16,152,62
ChIJgRYBxnpOqEcRRRR3vxzf5JA,2020-04-12,6,16,32,60
ChIJCwTwSilPqEcRrhHJnP7wi9c,2020-04-12,6,16,60,46
ChIJp_o46phOqEcR3bNa3Y9um8I,2020-04-12,6,16,66,59
ChIJ2VLUh_-PqEcRSTjeC7oUDEA,2020-04-12,6,16,29,92
ChIJszR0qEdOqEcR-wk88Z89zM8,2020-04-12,6,16,50,98
ChIJeYezYxBQqEcRZgzranOVC-c,2020-04-12,6,16,18,100
ChIJZ7MZiExPqEcRG1LUMlDEr-0,2020-04-12,6,16,121,86
ChIJ3ZkpfDtOqEcRNqjMThEFrR4,2020-04-12,6,16,17,81
ChIJU5ez5oFPqEcRY60T26uGVqQ,2020-04-12,6,16,71,80
ChIJMQfaOq9OqEcRODhg_9gOv24,2020-04-12,6,16,59,68
ChIJlV40EExOqEcRw-LRQsb4aos,2020-04-12,6,16,33,96
ChIJ23bYUrdPqEcR--60xiSSnaI,2020-04-12,6,16,14,54
ChIJIwKgZ8BOqEcR38x3fVXAZFs,2020-04-12,6,16,57,96
ChIJTQ1llWVLqEcRLoqzzG_QIy8,2020-04-12,6,16,53,36
ChIJxRIFHspUqEcR2H279DuiYeQ,2020-04-12,6,16,55,68
ChIJ8dOUGflNqEcRu2ifgiaGiB4,2020-04-12,6,16,55,57
ChIJx2LSe4lLqEcR-lOMCZxBmXk,2020-04-12,6,16,71,43
ChIJR-5e0OdLqEcRoh1QsCUOk-Q,2020-04-12,6,16,75,81
ChIJC6nKO-tLqEcRAB1K5YkgD5U,2020-04-12,6,16,40,54
ChIJF_i4LOxJqEcRSteIHuOrkCs,2020-04-12,6,16,65,39
ChIJU_Z6zrBLqEcR2FMXfrxX_as,2020-04-12,6,16,31,82
ChIJ7x66eO5JqEcRnD1pk9n72Ho,2020-04-12,6,16,29,91
ChIJOwzNtsNLqEcR5oI4qHhyuxU,2020-04-12,6,16,325,46
ChIJ1X5R8T1KqEcR4sYpW6By4ns,2020-04-12,6,16,39,62
ChIJt2CZ0W5KqEcROzrhku7yNEs,2020-04-12,6,16,37,88
ChIJbZY1_25KqEcRmNyNphC7y9A,2020-04-12,6,16,39,50
ChIJ19335DxKqEcRJPseh9pLTsg,2020-04-12,6,16,95,40
ChIJeWnBEAxOqEcRxCujiWAC9cA,2020-04-12,6,16,107,42
ChIJK9CbnfZRqEcRaH1WG3AGueE,2020-04-12,6,16,38,58
ChIJJ99ot2xRqEcR1C0OBDUv7eI,2020-04-12,6,16,21,100
ChIJAZp7-nxRqEcRGQlcF2wsxig,2020-04-12,6,16,37,68
ChIJ93i4SBxRqEcREgRyzHh3OcU,2020-04-12,6,16,81,95
ChIJQTXmJRNSqEcRhuYvqftsGUo,2020-04-12,6,16,26,65
ChIJWwtcPMpTqEcR0TQXF-Vp4Eo,2020-04-12,6,16,34,95
ChIJ2xXXluhTqEcRG7OkLwBmy2U,2020-04-12,6,16,83,76
ChIJk6Qz6N5QqEcRw7BHSklE3E8,2020-04-12,6,16,25,63
ChIJlakLKaRPqEcRElJtCL-m8nI,2020-04-12,6,16,64,76
ChIJ-8mQVUNQqEcRX_zh8do7jnQ,2020-04-12,6,16,24,65
ChIJfZpzv1BRqEcRPPWYUsLlRa0,2020-04-12,6,16,7,64
ChIJfeIuzE1SqEcR4nNb6lRg2iM,2020-04-12,6,16,82,51
ChIJTdF7l-VTqEcRkGX0zW8IieM,2020-04-12,6,16,60,60
ChIJ38EptC1OqEcRz4WWrQERQc0,2020-04-12,6,16,20,67
ChIJiYtaryJSqEcRKj_bcT2aE0Y,2020-04-12,6,16,25,82
ChIJ5d0FE1BQqEcRQaKP6vHG0_k,2020-04-12,6,16,56,77
ChIJMX49huxTqEcRcTYsxgLytxA,2020-04-12,6,16,51,56
ChIJdfZbBcpWqEcR2PZUbBg09-M,2020-04-12,6,16,65,59
ChIJ0zK3-zhOqEcRLFQnKGo-e9U,2020-04-12,6,16,61,54
ChIJq_tKmxxOqEcRUqTZMRrJZyg,2020-04-12,6,16,52,87
ChIJMdup0AxOqEcRMSiJPpryEtg,2020-04-12,6,16,86,61
ChIJpcwOBDNQqEcRlKFC0DGIzj4,2020-04-12,6,16,29,61
ChIJ2xPeMXZRqEcRBDgvTzz9jJU,2020-04-12,6,16,11,48
ChIJJxP1KyRRqEcR_hGOrPvJcEE,2020-04-12,6,16,87,87
ChIJZ0KxF_JRqEcRrLHB-4r-U-o,2020-04-12,6,16,9,59
ChIJS6_t9aZHqEcRGCiRSnvpm94,2020-04-12,6,16,5,61
ChIJTQam0-lRqEcR1JAU4DjCewA,2020-04-12,6,16,9,80
ChIJraCYwolRqEcRxVtJLuV3IDc,2020-04-12,6,16,312,92
ChIJCfROcedRqEcRjFRvdEEGvYY,2020-04-12,6,16,92,60
ChIJw_HTKK9RqEcRyeWAo9t_YlU,2020-04-12,6,16,48,55
ChIJR4cnPN5TqEcRHt6p-zRgAgc,2020-04-12,6,16,626,49
ChIJmbztRB9OqEcRGBgdJ67pifE,2020-04-12,6,16,29,98
ChIJx4yH3gZRqEcRoqmoKpHMLDo,2020-04-12,6,16,66,96
ChIJsfzV9n9RqEcR5WL5JBt9S68,2020-04-12,6,16,37,88
ChIJ4dic-71RqEcRj6sdBp0wvr0,2020-04-12,6,16,11,90
ChIJOZG7315OqEcRVs8ZP5sx0mQ,2020-04-12,6,16,15,43
ChIJpU9lbv5QqEcRi2P-1X1gkno,2020-04-12,6,16,44,96
ChIJnbNuyRhPqEcRUIN-creCDbw,2020-04-12,6,16,39,62
ChIJd2v8Cf9QqEcRnLCe4snacBA,2020-04-12,6,16,13,100
ChIJ8TbTJwJOqEcRvPFwPGvwmMw,2020-04-12,6,16,32,38
ChIJ8xxleelRqEcRtn5gqyNhHvA,2020-04-12,6,16,25,95
