place_id,local_date,local_weekday,local_hour,current_pop,usual_pop
ChIJv89RkHhSqEcRrqajjLK2R4o,2020-04-16,3,10,62,47
ChIJlY1gkZJTqEcRjhSX4jioS6o,2020-04-16,3,10,58,49
ChIJsba0P7hPqEcRJXRxDCgjlyA,2020-04-16,3,10,27,52
ChIJNWzO7SBRqEcRTPmbE-Et0pw,2020-04-16,3,10,29,33
ChIJc89ZqsNQqEcRh49E9EiYIFA,2020-04-16,3,10,61,59
ChIJ96oZf1RQqEcROpq9D80fxaE,2020-04-16,3,10,35,46
ChIJA9JKCbpSqEcRMpU5D6r1C-0,2020-04-16,3,10,67,33
ChIJF0aL-gRQqEcR7PKlUJha7dw,2020-04-16,3,10,48,44
ChIJGSlb6XdTqEcR4qDygg7QHBw,2020-04-16,3,10,27,62
ChIJ3YH-iLRIqEcR_skugJtFF_c,2020-04-16,3,10,79,47
ChIJ1Tr9mh9MqEcRi65VZd_bsxw,2020-04-16,3,10,34,32
ChIJHwQc3NFMqEcRIcgFuZ2YqVs,2020-04-16,3,10,68,41
ChIJS2r47UZOqEcRbCQd5Y_XAjc,2020-04-16,3,10,52,37
ChIJlZcGET1MqEcRTlaAls7LhIY,2020-04-16,3,10,81,50
ChIJEzsb7hRIqEcRgtjEj8bNBkY,2020-04-16,3,10,84,42
ChIJh5o-97FaqEcRdMncfgLQnw0,2020-04-16,3,10,62,43
ChIJH3ZUEZ1RqEcRXjbRUcRIvZ0,2020-04-16,3,10,53,40
ChIJm7BjfJVNqEcRaJfSCndU39M,2020-04-16,3,10,60,47
ChIJf9XwqzBQqEcRiyRlXKZeoRI,2020-04-16,3,10,35,33
ChIJ4VdGOqhHqEcRUf48ZF9qgqk,2020-04-16,3,10,67,40
ChIJ5yZ6zqlHqEcRPiEC9qBVsTY,2020-04-16,3,10,65,57
ChIJkZuf7lpRqEcR91TR9RkS0bQ,2020-04-16,3,10,53,75
ChIJt5_ZZ-1JqEcR2ftoU9Vgr6c,2020-04-16,3,10,82,78
ChIJEXyAYvZRqEcRMqssH0YWRBw,2020-04-16,3,10,23,42
ChIJ0Zv44-pOqEcRGH8zvwBI7_A,2020-04-16,3,10,57,50
ChIJDdGTY2JSqEcRCw03AmkS37E,2020-04-16,3,10,64,44
ChIJ011foPJWqEcRYBHQ3Xf6dU0,2020-04-16,3,10,54,38
ChIJ8-VpZVxWqEcRlYKKXiz8Z9Y,2020-04-16,3,10,16,35
ChIJ0aZ2DmNOqEcRWdJJ8cZvdKs,2020-04-16,3,10,31,32
ChIJ7S04c2tIqEcROy8rMdQ7EPU,2020-04-16,3,10,80,50
ChIJ_3Pm_L1RqEcRPtHs6p2i0AY,2020-04-16,3,10,7,75
ChIJ4dHdSq5RqEcReqvQ3PGSw4M,2020-04-16,3,10,23,21
ChIJq6qqasRPqEcRXNfStONfLpI,2020-04-16,3,10,40,33
ChIJh-VxU6FOqEcRvwU-Q_qUi38,2020-04-16,3,10,47,93
ChIJd-d5Rx1SqEcRgCz33OsCSZQ,2020-04-16,3,10,12,4
ChIJe8FmEzBQqEcRth79TMVowwU,2020-04-16,3,10,47,29
ChIJJbrv0uRRqEcRjPFVxVJ4e5o,2020-04-16,3,10,19,26
ChIJ_S5uaxJOqEcRdg-gu1fEgcI,2020-04-16,3,10,25,19
ChIJt-a62fz1qEcRIJwFoSAi9IQ,2020-04-16,3,10,49,16
ChIJW2oZB8ZRqEcRyFvuEpCnNBQ,2020-04-16,3,10,19,32
ChIJ25xRQB9OqEcRiDCQLqrmcbA,2020-04-16,3,10,12,31
ChIJKVIg5EZFqEcRD75xE2cDXqM,2020-04-16,3,10,17,60
ChIJX4ubSl1UqEcRpV4STcBDUD8,2020-04-16,3,10,16,63
ChIJ7d_UnD5JqEcRzbgHvf8fNzM,2020-04-16,3,10,5,14
ChIJ1eUIwElQqEcRWryKuOGKHg8,2020-04-16,3,10,36,70
ChIJ98LWuDNQqEcR6OnDFWwJUu8,2020-04-16,3,10,22,52
ChIJyWpqDXdPqEcRW_urciDhXBE,2020-04-16,3,10,27,40
ChIJ406aXg1UqEcRqy0qSr7EiVU,2020-04-16,3,10,23,51
ChIJr0ZHldNLqEcRMaksdM5U0XU,2020-04-16,3,10,25,70
ChIJmTbnUu9TqEcRDIQlD3hmt6I,2020-04-16,3,10,22,49
ChIJz1SnASBXqEcRxNOjBLhxe5Y,2020-04-16,3,10,14,26
ChIJgVuUc8BWqEcRoil0A4lg1Y4,2020-04-16,3,10,21,61
ChIJ7eUE9eRRqEcRSQi-22OEJ7g,2020-04-16,3,10,15,48
ChIJXfVddQtRqEcR5wLooPQmGzE,2020-04-16,3,10,21,72
ChIJg2vQjPtQqEcR-N5-qZZ5NlU,2020-04-16,3,10,16,54
ChIJ_RJsqeBQqEcR1dUSylbBoXM,2020-04-16,3,10,8,23
ChIJYf54fkpRqEcRuMlNaIdyH4I,2020-04-16,3,10,21,51
ChIJD5gXOIRTqEcRk3R4CfcWeKI,2020-04-16,3,10,24,75
ChIJU6NkgLdPqEcRthuvoxHZL_I,2020-04-16,3,10,17,41
ChIJVz4Nn_pGqEcR_l0emjlY8PE,2020-04-16,3,10,14,79
ChIJ62hndh9OqEcRydXjBjh91ps,2020-04-16,3,10,4,39
ChIJe-ff-71RqEcRqvy8lRR4PHo,2020-04-16,3,10,7,75
ChIJcy1JA8NRqEcRBNy2MNzQTmw,2020-04-16,3,10,7,42
ChIJXdFtSjxIqEcRjoozhtQ1iDo,2020-04-16,3,10,9,18
ChIJ05q01-1RqEcRGDTqjYS5BBs,2020-04-16,3,10,12,53
ChIJaS75A0dOqEcRK8tLe3-tu3A,2020-04-16,3,10,23,50
ChIJhwfvW8lRqEcRud4JRZ-d6vQ,2020-04-16,3,10,5,13
ChIJweNzLf5QqEcR9_-BQ7QntcI,2020-04-16,3,10,14,53
ChIJXRf9v1xaqEcR3epG1jIU72A,2020-04-16,3,10,18,68
ChIJ5wlqTJ9ZqEcRxECWVrtwkvA,2020-04-16,3,10,25,42
ChIJkXqLeNlOqEcRnZjFxxIJhyQ,2020-04-16,3,10,16,52
ChIJYxlGmqlHqEcRB_18Dsbch-0,2020-04-16,3,10,22,45
ChIJAUSBTxBbqEcR7vR-UJ-aeGQ,2020-04-16,3,10,16,52
ChIJqREgbBlXqEcR_9PBCoz8kKw,2020-04-16,3,10,4,5
ChIJnyy9mAVXqEcRFyqpgaoaNL8,2020-04-16,3,10,11,62
ChIJ19jza-NQqEcRJEn6BpZAkTk,2020-04-16,3,10,22,55
ChIJz4ha4AFPqEcRYVFjG8IRfH8,2020-04-16,3,10,34,26
ChIJzXOJmidXqEcRD1H8fGToPXU,2020-04-16,3,10,58,33
ChIJHx2ZcRhRqEcRqZOvQdjYCGs,2020-04-16,3,10,28,36
ChIJmUxzFJlaqEcR7VB4BTI_PCw,2020-04-16,3,10,27,32
ChIJQ0N-P6JQqEcR8JiZVUKhPNQ,2020-04-16,3,10,40,56
ChIJ4VjLd6ZQqEcRqQasyoAM8zI,2020-04-16,3,10,64,68
ChIJXW5nedRQqEcR1oE1aLnzb8w,2020-04-16,3,10,10,60
ChIJETkp821aqEcRlpJVRUacYZc,2020-04-16,3,10,34,5
ChIJX5MDd-FQqEcRbElgYTnKNBw,2020-04-16,3,10,48,63
ChIJ59aC4yxRqEcRKMot7w6gmrs,2020-04-16,3,10,19,26
ChIJTyk-jddQqEcRdQePRSfYvHg,2020-04-16,3,10,19,20
ChIJ9XuK4fpQqEcRW5s16hyg6NA,2020-04-16,3,10,36,48
ChIJQ4jdRilRqEcRLaYhVIsFA0k,2020-04-16,3,10,33,30
ChIJ5S7sUyJRqEcRcwGBRnqrL4I,2020-04-16,3,10,22,34
ChIJHeW-I-NQqEcRIbxZDkwXCj4,2020-04-16,3,10,26,51
ChIJqx5hG9VQqEcRZFPoE2YEfAs,2020-04-16,3,10,39,38
ChIJTyk-jddQqEcReE3sYfeBKdE,2020-04-16,3,10,43,54
ChIJ_2sP9B9RqEcRq05HU9vSnbM,2020-04-16,3,10,30,35
ChIJkbJRdzpRqEcR-AqtZUy9Uzk,2020-04-16,3,10,19,24
ChIJIZekiN5QqEcRWFeOVpdf3ks,2020-04-16,3,10,18,17
ChIJS9ztHyFRqEcRw0oXzI8jkGY,2020-04-16,3,10,28,33
ChIJYZBeIPtQqEcRCR_VtXB63sk,2020-04-16,3,10,51,54
ChIJEV16lt9QqEcRFzb320ncnXk,2020-04-16,3,10,15,34
ChIJF6LFntxQqEcRMKYlG3KJHsg,2020-04-16,3,10,52,39
ChIJ37rYLSpRqEcR5vKoagfAD_g,2020-04-16,3,10,41,43
ChIJ37rYLSpRqEcRcL-nFqYH920,2020-04-16,3,10,49,54
ChIJX4YOZTlRqEcRl_jVzVULQSU,2020-04-16,3,10,53,47
ChIJmyKzh99QqEcRe-Sj1wfhCWU,2020-04-16,3,10,29,26
ChIJuwl-uytRqEcRq4zK6ZG4m2s,2020-04-16,3,10,45,46
ChIJ-_vSn8JQqEcRyBP7BCigLIE,2020-04-16,3,10,27,29
ChIJSRZc6SBRqEcRogSlX97bckc,2020-04-16,3,10,20,21
ChIJ8aom5OFQqEcRCGMEuKp_bHI,2020-04-16,3,10,30,29
ChIJO7IwbztRqEcRShY3V4DrBcI,2020-04-16,3,10,32,36
ChIJx0i4_ClRqEcRYGepdyBZwoc,2020-04-16,3,10,35,49
ChIJXXcp9B9RqEcRs8TpySyBtN4,2020-04-16,3,10,39,33
ChIJfR4Wo8NQqEcR-TKZz9g7Zlc,2020-04-16,3,10,48,36
ChIJV0M2ltdQqEcRw4wJEgD6RAE,2020-04-16,3,10,34,27
ChIJgbQDUFxaqEcR24UkxXlA5Wg,2020-04-16,3,10,66,65
ChIJEwdeEEtWqEcRWQ4-H9WfgmI,2020-04-16,3,10,36,46
ChIJZwRhI59ZqEcRe6SXdn51ma4,2020-04-16,3,10,49,44
ChIJFWsGVYhaqEcRWlUNrQypCAM,2020-04-16,3,10,37,71
ChIJrcNS6hFaqEcR5__JzvK9QNA,2020-04-16,3,10,18,56
ChIJGTvodudaqEcRfcoXYl9p3jI,2020-04-16,3,10,8,47
ChIJNQZis2VQqEcRqjk7Uoi1ZwM,2020-04-16,3,10,32,58
ChIJhRXCy4pQqEcRufs-Tf80mX4,2020-04-16,3,10,29,34
ChIJn88nkNNRqEcRO2dRLeG_vHo,2020-04-16,3,10,37,37
ChIJdclmYIlQqEcR8cuXyFIYWdY,2020-04-16,3,10,33,35
ChIJx--6kFhQqEcRrXZeoIG1I94,2020-04-16,3,10,50,25
ChIJW97QfZxQqEcRSyJO9uBziBU,2020-04-16,3,10,43,46
ChIJuWuPPFtQqEcRoEQbxzIs51Y,2020-04-16,3,10,56,49
ChIJk478t19QqEcRTvaalCzyW5Q,2020-04-16,3,10,22,19
ChIJz_5U9fNQqEcRBkeM3NuHHGQ,2020-04-16,3,10,23,23
ChIJNTva6pBQqEcRTTDYm0Z-XFk,2020-04-16,3,10,19,29
ChIJI7ymbsBQqEcRkO6EIumDrhQ,2020-04-16,3,10,13,46
ChIJr3SgYV1QqEcRfxdjNcyZp5c,2020-04-16,3,10,38,24
